Item code,Description,Lead time (Days)
459,**INACTIVE**CORE 4.5 W X 3 ID,0
460,**INACTIVE**CORE 5 W X 3 ID,0
461,**INACTIVE**CORE 5.5 W X 3 ID,0
462,CORE 6 W X 3 ID,14
463,DESICCANT BAG 1/6 UNIT 1200/PAIL,1
464,**INACTIVE**3M 1522 6.3 MIL 2 PSA CLR PE 1.5 IN,0
465,DSCOPE PRTD 5.4 IN WOVEN ELAST CLOTH W/PSA (SUB),0
466,**INACTIVE**VELCRO ADVANCE 7/8 IN CIR WHT LOOP W/PSA,0
467,**INACTIVE**TECNOL 6 X 6 (4.25 X 4) SSL UP 120/CASE,0
468,**INACTIVE**SELECTIVE GAUZE PAD,0
469,**INACTIVE**ADVANCE 3 X 1/2 LOOP W/TYVEK,14
470,TYVEK W/PERMANENT PSA 3 IN,7
471,**INACTIVE**BLANK,0
472,BOX 16 X 16 X 8 #S-4393,1
473,**INACTIVE**POLYBAG GUSSETED 6 X 3 X 15,0
474,ADVANCE HOOK W/PSA 1.5 X .5,14
475,**INACTIVE**ADVANCED MESH FILTER 9.125 IN,0
476,**INACTIVE**BOX 20 X 20 X 12,0
477,**INACTIVE**CS ADVANCE SYMMETRICAL NET 10,0
479,**INACTIVE**SONTARA PU 1 PSA 4.4375 IN,35
480,BOX 24 X 24 X 12 #S-4320,1
481,HYDRO TAPE STRIP 4 X 7/8 UP - 715-03224-000,14
482,**INACTIVE**BANTA CLR HOOK 2 X 3/8 LY,0
483,MPM Repel Wnd Drsg Sterile 4x6 Pad MP00086,14
484,**INACTIVE**SWISS 4 X 4 HYDCOLLD,0
485,**INACTIVE**SWISS 6 X 6 HYDCOLLD,0
486,**INACTIVE**SWISS 4 X 4 NAP,0
487,SWISS 6 X 6 HYDROPHILIC FOAM,14
488,**INACTIVE**RM DUPLICATE FOR 000129,35
489,**INACTIVE**MACTAC IB1190 .5 MIL PET 2 PSA 1.862 IN,0
490,**INACTIVE**7.5 X 11 UP TYVEK/MYLAR CHEVRON POUCH,0
491,**INACTIVE**EYE SHIELD PRI CLR A-CUP,14
492,SWISS 4 X 4 HYDROPHILIC FOAM,14
493,**INACTIVE**8 OZ W/DELNET 2 SIDES,35
494,**INACTIVE**RYNELL HYDROPHILIC FOAM 4.5 IN,56
495,**INACTIVE**18 MIL HYDCOLLD W/1 MIL PU 11.8 IN,0
496,**INACTIVE**UP CHEVRON POUCH 5.5 X 6.75 TYVEK/MYL,42
497,**INACTIVE**UP CHEVRON POUCH 7.5 X 9 TYVEK/MYLAR,42
498,**INACTIVE**HYDROPHILIC FOAM 2.5 IN,56
499,**INACTIVE**BOX 8.75 X 8.75 X 2.5,0
500,**INACTIVE**BOX  12.75 X 12.75 X 2.5,0
501,INSUL-FAB/SPECTAPE CC 590A 4 IN,35
502,EASY REL 53# LNR 4.5 IN,35
503,**INACTIVE**TIGHT REL 53# LNR 4.125 IN,35
504,**INACTIVE**PECHINEY AFA PRTD 2.78 X 3.5 FOIL/PE POUCH,28
505,**INACTIVE**AFA AQUA BURN,14
506,**INACTIVE**PRTD INSERT MPM EXCEL 2 X 2,0
507,**INACTIVE**PRTD INSERT MPM EXCEL 4.25 X 4,7
508,**INACTIVE**PRTD INSERT MPM EXCEL 3.6 X 4,0
509,**INACTIVE**PRTD INSERT MPM EXCEL 6 X 6.5,0
510,**INACTIVE**AUTOBAG SWISS 4 X 4 NAP,14
511,**INACTIVE**AUTOBAG SWISS 4 X 4 FOAM,14
512,**INACTIVE**AUTOBAG SWISS 6 X 6 FOAM,14
513,BOSS ARM BOARD TAPE TAB 70021191,14
514,"""PURGE"" FLEXCON V400 F W  V-156 NTC 5.4 IN",35
515,**INACTIVE**PRECEPT 1/2 PAPER RLS,0
516,**INACTIVE**MEDIUM REL 83# LNR .5 IN,0
517,**INACTIVE**MEDIUM REL 83# LNR MSTR RL,105
518,**INACTIVE**SCI ANTI-WRINKLE PATCH 4/BAG,0
519,**INACTIVE**3M 1527L 6.6 MIL 1 PSA CLR PERF EVA 3 IN,0
